id,type,size,category
MINA,stock,,
PWON,stock,,
STTP,stock,,
CEKA,stock,,
FORE,stock,,
BEBS,stock,,
BHIT,stock,,
MYOH,stock,,
SMRU,stock,,
TRIL,stock,,
MERK,stock,,
HDFA,stock,,
PADA,stock,,
ROTI,stock,,
ITMG,stock,,
OBAT,stock,,
SMBR,stock,,
HYGN,stock,,
DPUM,stock,,
HOKI,stock,,
WIIM,stock,,
SINI,stock,,
GAMA,stock,,
MBMA,stock,,
WMPP,stock,,
CLPI,stock,,
WOMF,stock,,
MDIY,stock,,
DATA,stock,,
BOLT,stock,,
JSMR,stock,,
FMII,stock,,
TBMS,stock,,
NFCX,stock,,
TOTO,stock,,
INAI,stock,,
BEST,stock,,
AADI,stock,,
ASRI,stock,,
BACA,stock,,
DMMX,stock,,
IBOS,stock,,
ICBP,stock,,
PDES,stock,,
SPTO,stock,,
DAYA,stock,,
MTFN,stock,,
WMUU,stock,,
KIJA,stock,,
AISA,stock,,
BBMD,stock,,
DOSS,stock,,
ESSA,stock,,
PGAS,stock,,
STRK,stock,,
POLL,stock,,
BRIS,stock,,
MDIA,stock,,
COWL,stock,,
SMRA,stock,,
BOGA,stock,,
SSIA,stock,,
JRPT,stock,,
MREI,stock,,
NANO,stock,,
PNBS,stock,,
NOBU,stock,,
HADE,stock,,
OCAP,stock,,
DWGL,stock,,
JTPE,stock,,
CLEO,stock,,
ARCI,stock,,
TARA,stock,,
INCO,stock,,
AHAP,stock,,
IPCM,stock,,
GPSO,stock,,
PADI,stock,,
MAPA,stock,,
RUIS,stock,,
MABA,stock,,
PLAS,stock,,
JAST,stock,,
ANTM,stock,,
BISI,stock,,
KREN,stock,,
NRCA,stock,,
PNIN,stock,,
HKMU,stock,,
WIFI,stock,,
ABMM,stock,,
CSAP,stock,,
IKPM,stock,,
ASJT,stock,,
WSKT,stock,,
JKON,stock,,
TDPM,stock,,
BSDE,stock,,
NSSS,stock,,
ADES,stock,,
CITA,stock,,
KAEF,stock,,
MCOR,stock,,
MEDC,stock,,
MINE,stock,,
BMTR,stock,,
TUGU,stock,,
APII,stock,,
TCPI,stock,,
BPII,stock,,
DNET,stock,,
CPIN,stock,,
KRAS,stock,,
WTON,stock,,
ROCK,stock,,
MAIN,stock,,
PTIS,stock,,
AEGS,stock,,
ASMI,stock,,
DKFT,stock,,
RAFI,stock,,
WINE,stock,,
INDF,stock,,
SUGI,stock,,
ADHI,stock,,
BEEF,stock,,
MTMH,stock,,
SUPA,stock,,
PIPA,stock,,
TLDN,stock,,
STAR,stock,,
EPAC,stock,,
TMPO,stock,,
NIRO,stock,,
TECH,stock,,
MRAT,stock,,
BSIM,stock,,
DEFI,stock,,
LPPF,stock,,
BULL,stock,,
MLIA,stock,,
BBTN,stock,,
IPTV,stock,,
PSKT,stock,,
INAF,stock,,
LION,stock,,
MPOW,stock,,
CUAN,stock,,
CRSN,stock,,
IPOL,stock,,
INPP,stock,,
JECC,stock,,
AMRT,stock,,
TRON,stock,,
DCII,stock,,
BABP,stock,,
HILL,stock,,
IPPE,stock,,
BATA,stock,,
BNBR,stock,,
BTEL,stock,,
INPC,stock,,
PURA,stock,,
PBRX,stock,,
TRAM,stock,,
EURO,stock,,
MSTI,stock,,
CMNT,stock,,
IKAI,stock,,
SNLK,stock,,
LPPS,stock,,
ANDI,stock,,
DART,stock,,
GOTO,stock,,
AMFG,stock,,
SOFA,stock,,
TRIS,stock,,
MARK,stock,,
POLY,stock,,
CTTH,stock,,
TBLA,stock,,
JSKY,stock,,
TNCA,stock,,
HRTA,stock,,
UNTR,stock,,
INKP,stock,,
TKIM,stock,,
BTPS,stock,,
LRNA,stock,,
PNLF,stock,,
FOLK,stock,,
GEMA,stock,,
SMLE,stock,,
IDPR,stock,,
APLI,stock,,
HRUM,stock,,
ARMY,stock,,
WEHA,stock,,
ADMF,stock,,
AUTO,stock,,
MAGP,stock,,
MEDS,stock,,
BRMS,stock,,
JAWA,stock,,
ASII,stock,,
DRMA,stock,,
INCF,stock,,
PSGO,stock,,
BWPT,stock,,
BOLA,stock,,
IMPC,stock,,
SDMU,stock,,
ENRG,stock,,
RBMS,stock,,
INRU,stock,,
KPIG,stock,,
SATU,stock,,
ARTA,stock,,
DOID,stock,,
HERO,stock,,
LUCK,stock,,
OKAS,stock,,
CASA,stock,,
KMDS,stock,,
ATAP,stock,,
BIPP,stock,,
LIFE,stock,,
KLBF,stock,,
BSML,stock,,
LMSH,stock,,
INDY,stock,,
TRUK,stock,,
LPGI,stock,,
CYBR,stock,,
TGRA,stock,,
RISE,stock,,
EKAD,stock,,
IPAC,stock,,
VICO,stock,,
BFIN,stock,,
SULI,stock,,
TAPG,stock,,
BLTA,stock,,
HOTL,stock,,
TAMU,stock,,
ISSP,stock,,
ASRM,stock,,
CARS,stock,,
VINS,stock,,
ABDA,stock,,
BBHI,stock,,
DSNG,stock,,
PNBN,stock,,
ALTO,stock,,
INCI,stock,,
DMAS,stock,,
MDKI,stock,,
BELI,stock,,
RIGS,stock,,
TOPS,stock,,
BMRI,stock,,
BPFI,stock,,
KBRI,stock,,
BKSL,stock,,
LSIP,stock,,
WEGE,stock,,
UNSP,stock,,
EMTK,stock,,
UANG,stock,,
PART,stock,,
KBLI,stock,,
CSMI,stock,,
TELE,stock,,
APIC,stock,,
MENN,stock,,
TRIM,stock,,
MAYA,stock,,
KINO,stock,,
GLVA,stock,,
DEWA,stock,,
BAYU,stock,,
BIPI,stock,,
GLOB,stock,,
MGRO,stock,,
AMIN,stock,,
BBRM,stock,,
ATLA,stock,,
IMAS,stock,,
TRIO,stock,,
CMPP,stock,,
TRUE,stock,,
CLAY,stock,,
WIKA,stock,,
UNVR,stock,,
UNIT,stock,,
IDEA,stock,,
WIRG,stock,,
MDLN,stock,,
BINA,stock,,
DFAM,stock,,
CENT,stock,,
MDLA,stock,,
MKNT,stock,,
PACK,stock,,
SOLA,stock,,
MBSS,stock,,
ASGR,stock,,
MIKA,stock,,
POOL,stock,,
ASLC,stock,,
BHAT,stock,,
HOME,stock,,
CCSI,stock,,
LINK,stock,,
PCAR,stock,,
NASA,stock,,
BUKA,stock,,
ICON,stock,,
JGLE,stock,,
PSAB,stock,,
SDPC,stock,,
UVCR,stock,,
MPPA,stock,,
KAYU,stock,,
VKTR,stock,,
EPMT,stock,,
RLCO,stock,,
APEX,stock,,
MGNA,stock,,
PTPP,stock,,
CMRY,stock,,
ZBRA,stock,,
EXCL,stock,,
RATU,stock,,
HEXA,stock,,
PANR,stock,,
KSIX,stock,,
MASB,stock,,
LCGP,stock,,
CINT,stock,,
ZINC,stock,,
AALI,stock,,
CARE,stock,,
FILM,stock,,
TLKM,stock,,
DLTA,stock,,
KIOS,stock,,
BBNI,stock,,
BUDI,stock,,
CASS,stock,,
ETWA,stock,,
OASA,stock,,
ERAL,stock,,
GIAA,stock,,
INOV,stock,,
BRAM,stock,,
VOKS,stock,,
MLPL,stock,,
MPMX,stock,,
PALM,stock,,
TFAS,stock,,
SMSM,stock,,
BNLI,stock,,
SAGE,stock,,
RICY,stock,,
