investor,stock,company,sector,lf,feb_pct,mar_pct,delta_pct,jan_local_agg_pct,jan_foreign_agg_pct
PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,BBTN,BANK TABUNGAN NEGARA (PERSERO) Tbk,,Local,60.0,59.4,-0.6,28.5,11.5
EDWARD SETIAWAN JOESOEF,FOLK,MULTI GARAM UTAMA Tbk,,Local,2.95,2.35,-0.6,99.8,0.2
LAUW SUSANTO,TAXI,EXPRESS TRANSINDO UTAMA Tbk,,Local,3.34,3.93,0.59,97.3,2.7
TOMY WINATA,JIHD,JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT Tbk,,Local,13.15,12.56,-0.59,46.3,6.1
ADITYA ANANTA,NANO,NANOTECH INDONESIA GLOBAL Tbk,,Local,4.17,3.59,-0.58,91.7,8.3
GOVERNMENT OF NORWAY,SMRA,SUMMARECON AGUNG Tbk,,Foreign,1.93,1.35,-0.58,65.3,10.7
VANECK GOLD MINERS ETF,BRMS,BUMI RESOURCES MINERALS Tbk,,Foreign,2.87,2.29,-0.58,42.7,57.3
NUSANTARA UTAMA INVESTAMA PT,BUVA,BUKIT ULUWATU VILLA Tbk,,Local,61.64,61.07,-0.57,94.0,6.0
21 INTERNATIONAL VENTURE SPC,AMMN,AMMAN MINERAL INTERNASIONAL Tbk,,Foreign,2.49,1.93,-0.56,84.7,15.3
ASIA KAPITAL PROPERTI PT,RELI,RELIANCE SEKURITAS INDONESIA Tbk,,Local,1.99,1.43,-0.56,100.0,0.0
FLORENCE SENDJAJA,ITMA,SUMBER ENERGI ANDALAN Tbk,,Local,2.5,3.05,0.55,95.9,3.5
Zurich Assets International Ltd,EURO,ESTEE GOLD FEET Tbk,,Foreign,3.12,3.67,0.55,96.6,3.4
UBS AG SINGAPORE BRANCH,DOSS,GLOBAL SUKSES DIGITAL Tbk,,Foreign,4.28,4.83,0.55,31.5,5.5
MANJIT KISHIN PUNJABI,DOSS,GLOBAL SUKSES DIGITAL Tbk,,Local,1.78,1.23,-0.55,31.5,5.5
LEE SUHARLIE,MPOW,MEGAPOWER MAKMUR Tbk,,Local,5.49,4.94,-0.55,38.9,61.1
PT. MULIA JAYA PALMA,GRPH,GRIPTHA PUTRA PERSADA Tbk,,Local,70.19,69.64,-0.55,99.9,0.1
KINGSWOOD UNION CORPORATION,BULL,BUANA LINTAS LAUTAN Tbk,,Foreign,4.29,3.75,-0.54,70.5,29.6
INOVASI PRIMA SENTOSA,KREN,QUANTUM CLOVERA INVESTAMA Tbk,,Local,1.74,1.21,-0.53,84.6,2.2
PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,BBRI,BANK RAKYAT INDONESIA (PERSERO) Tbk,,Local,53.19,52.66,-0.53,17.7,29.1
HENRY ARDIAN SUTANTO,RCCC,UTAMA RADAR CAHAYA Tbk,,Local,2.27,1.75,-0.52,99.9,0.1
PT MATRA TRI ABADI,IRSX,FOLAGO GLOBAL NUSANTARA Tbk,,Local,63.44,63.95,0.51,99.7,0.3
PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,PTPP,PP (PERSERO) Tbk,,Local,51.0,50.49,-0.51,46.6,2.4
BFI FINANCE INDONESIA TBK PT,BFIN,BFI FINANCE INDONESIA Tbk,,Local,1.43,1.93,0.5,20.8,79.1
PT GAPANINDO WIRA SEMESTA,BSML,BINTANG SAMUDERA MANDIRI LINES Tbk,,Local,2.55,3.05,0.5,92.6,7.4
PT FAJAR CAKRAWALA PRIMA,BIKE,SEPEDA BERSAMA INDONESIA Tbk,,Local,3.82,4.32,0.5,99.0,1.0
"PANIN SEKURITAS Tbk, PT",KIJA,KAWASAN INDUSTRI JABABEKA Tbk,,Local,1.54,1.04,-0.5,45.5,28.2
HENDRA JULIUS SETIAWAN MARTONO,BCIP,BUMI CITRA PERMAI Tbk,,Local,1.89,1.39,-0.5,97.8,2.2
