investor,stock,company,sector,lf,mar_pct,jan_local_agg_pct,jan_foreign_agg_pct
PT ASKAR PELANGI ABADI,GAMA,AKSARA GLOBAL DEVELOPMENT Tbk,,Local,4.89,97.2,2.8
PT. INDOLIFE PENSIONTAMA,MEGA,BANK MEGA Tbk,,Local,4.89,95.6,4.4
Reksa Dana Victoria Equity Maxima,SIMA,SIWANI MAKMUR Tbk,,Local,4.77,99.9,0.0
PT SAMUEL SEKURITAS INDONESIA,NSSS,NUSANTARA SAWIT SEJAHTERA Tbk,,Local,4.74,95.7,4.3
PT NUR SANGKARA KAMARTA,KUAS,ACE OLDFIELDS Tbk,,Local,4.61,29.9,0.3
"Wijaya Kusuma Investasi, PT",MKTR,MENTHOBI KARYATAMA RAYA Tbk,,Local,4.61,90.5,1.7
PT. AMAN DHITYA INVESTAMA,PANR,PANORAMA SENTRAWISATA Tbk,,Local,4.5,99.4,0.6
SPRING VISTA INTERNATIONAL LIMITED,BANK,BANK ALADIN SYARIAH Tbk,,Foreign,4.49,83.2,10.4
JANTY SETYASTUTY SH,ENZO,MORENZO ABADI PERKASA Tbk,,Local,4.47,30.8,0.1
PT CAHAYA OBOR DAMAI,CITY,NATURA CITY DEVELOPMENTS Tbk,,Local,4.35,7.5,0.2
PT WISDOM CROWD INDONESIA,DOOH,ERA MEDIA SEJAHTERA Tbk,,Local,4.22,99.2,0.4
PT. Zed Utama Persada,TARA,AGUNG SEMESTA SEJAHTERA Tbk,,Local,4.16,89.1,10.9
"TIRTA CITRA SOLUSI, PT",TARA,AGUNG SEMESTA SEJAHTERA Tbk,,Local,4.16,89.1,10.9
PT ASKAR PELANGI ABADI,TARA,AGUNG SEMESTA SEJAHTERA Tbk,,Local,4.16,89.1,10.9
"SUMBER TEKNOLOGI MULIA, PT",TARA,AGUNG SEMESTA SEJAHTERA Tbk,,Local,4.16,89.1,10.9
PT ZED UTAMA PERSADA,APIC,PACIFIC STRATEGIC FINANCIAL Tbk,,Local,4.15,88.5,11.5
ADVANCE OPPORTUNITIES FUND,IDEA,IDEA INDONESIA AKADEMI Tbk,,Foreign,4.12,99.1,0.9
ASIA INVESTMENT BANKING CORPORATION,SMMA,SINAR MAS MULTIARTHA Tbk,,Foreign,4.05,81.9,13.1
"MITRA MENDAWAI SEJATI, PT",CBUT,CITRA BORNEO UTAMA Tbk,,Local,4.0,56.7,15.9
"KALIMANTAN SAWIT ABADI, PT",CBUT,CITRA BORNEO UTAMA Tbk,,Local,4.0,56.7,15.9
PT NUANSA INDAH KEMILAU,CITY,NATURA CITY DEVELOPMENTS Tbk,,Local,3.93,7.5,0.2
PT BARA SEJAHTERA SUKSES,APIC,PACIFIC STRATEGIC FINANCIAL Tbk,,Local,3.92,88.5,11.5
PT. Arima Karya Persada,BHAT,BHAKTI MULTI ARTHA Tbk,,Local,3.91,76.6,23.4
SURYASENTRA GEMILANG SENTOSA PT,TIRA,TIRA AUSTENITE Tbk,,Local,3.9,99.8,0.0
PT PACIFIK MANAGEMENT BUANA,CITY,NATURA CITY DEVELOPMENTS Tbk,,Local,3.89,7.5,0.2
ZICO TRUST (S) LTD,SPTO,SURYA PERTIWI Tbk,,Foreign,3.88,73.6,26.4
MAHAPA MITRA PERSADA PT,SOTS,SATRIA MEGA KENCANA Tbk,,Local,3.81,100.0,0.0
PT. PEDAGANG ASET KRIPTO,CARS,INDUSTRI DAN PERDAGANGAN BINTRACO DHARMA Tbk,,Local,3.75,82.8,17.2
REKSA DANA HPAM SMART BETA EKUITAS,PRDA,PRODIA WIDYAHUSADA Tbk,,Local,3.74,20.0,20.0
PT. FERSINDO NUSA JAYA,EURO,ESTEE GOLD FEET Tbk,,Local,3.57,96.6,3.4
PT MINNA PADI INVESTAMA SEKURITAS Tbk,ASJT,ASURANSI JASA TANIA Tbk,,Local,3.55,100.0,0.0
"KARYA NUSANTARA PERMAI, PT",INPC,BANK ARTHA GRAHA INTERNASIONAL Tbk,,Local,3.52,42.6,8.1
PT SEJAHTERA MAHKOTA PERSADA,CARE,METRO HEALTHCARE INDONESIA Tbk,,Local,3.51,63.0,24.7
SAFARI ASIA LIMITED,NANO,NANOTECH INDONESIA GLOBAL Tbk,,Foreign,3.5,91.7,8.3
"TIRTA CITRA SOLUSI, PT",APIC,PACIFIC STRATEGIC FINANCIAL Tbk,,Local,3.38,88.5,11.5
MUTIARA BARA ABADI PT,SMGA,SUMBER MINERAL GLOBAL ABADI Tbk,,Local,3.21,48.8,0.9
"EFG BANK AG, SINGAPORE BRANCH A/C CLIENTS",PRDA,PRODIA WIDYAHUSADA Tbk,,Foreign,3.21,20.0,20.0
HIMAWAN SUTANTO,LAPD,LEYAND INTERNATIONAL Tbk,,Local,3.2,92.3,7.7
PT ZED UTAMA PERSADA,BOGA,APOLLO GLOBAL INTERACTIVE Tbk,,Local,3.18,67.9,32.1
ANUGERAH INVESTINDO PT,INAI,INDAL ALUMINIUM INDUSTRY Tbk,,Local,3.14,37.6,0.1
"BANTRUNK MURNI INDONESIA, PT",LMSH,LIONMESH PRIMA Tbk,,Local,3.13,12.3,30.4
PT. SEMBILAN SEMBILAN BERKAT,SOFA,SOLUSI ENVIRONMENT ASIA Tbk,,Local,3.12,99.8,0.2
VOYA INVESTMENT MANAGEMENT PTE.LTD,NATO,SURYA PERMATA ANDALAN Tbk,,Foreign,3.12,69.7,30.3
HEROWIRATNO GUNAWAN,PCAR,PRIMA CAKRAWALA ABADI Tbk,,Local,3.06,99.9,0.1
PT ALDIRACITA SEKURITAS INDONESIA,PYFA,PYRIDAM FARMA Tbk,,Local,3.05,35.8,64.2
HAIYANTO,PTPP,PP (PERSERO) Tbk,,Local,3.01,46.6,2.4
PT KEMILAU INVESTAMA MAKMUR,MEDC,MEDCO ENERGI INTERNASIONAL Tbk,,Local,2.99,66.5,33.1
"MULTI GARAM UTAMA, PT",DGNS,DIAGNOS LABORATORIUM UTAMA Tbk,,Local,2.97,21.2,0.8
NIVEN HOLDING LIMITED,TKIM,PABRIK KERTAS TJIWI KIMIA Tbk,,Foreign,2.96,11.5,17.3
PT SEJAHTERA MAHKOTA PERSADA,NASA,ANDALAN PERKASA ABADI Tbk,,Local,2.96,100.0,0.0
"TIRTA CITRA SOLUSI, PT",BHAT,BHAKTI MULTI ARTHA Tbk,,Local,2.96,76.6,23.4
JABAR UTAMA WOOD INDUSTRY PT,GZCO,GOZCO PLANTATIONS Tbk,,Local,2.92,85.9,14.1
"PANIN SEKURITAS Tbk, PT",MKPI,METROPOLITAN KENTJANA Tbk,,Local,2.89,14.8,1.9
PT TIRTA ORISA YASA,BUVA,BUKIT ULUWATU VILLA Tbk,,Local,2.88,94.0,6.0
BOARD GATE LIMITED,APIC,PACIFIC STRATEGIC FINANCIAL Tbk,,Foreign,2.74,88.5,11.5
"GRAHAWITA SANTIKA, PT",DYAN,DYANDRA MEDIA INTERNATIONAL Tbk,,Local,2.72,91.5,0.6
PT PRAKARSA MITRA SENTOSA,TYRE,KING TIRE INDONESIA Tbk,,Local,2.72,20.1,0.1
VALTOS GLOBALINDO PT,TRUE,TRINITI DINAMIK Tbk,,Local,2.72,75.6,0.1
PT BARA SEJAHTERA SUKSES,BOGA,APOLLO GLOBAL INTERACTIVE Tbk,,Local,2.72,67.9,32.1
PT. Anugerah Bumiputra,HELI,JAYA TRISHINDO Tbk,,Local,2.7,89.8,10.2
BOQUETE GROUP S.A.,TKIM,PABRIK KERTAS TJIWI KIMIA Tbk,,Foreign,2.69,11.5,17.3
PT ASKAR PELANGI ABADI,APIC,PACIFIC STRATEGIC FINANCIAL Tbk,,Local,2.68,88.5,11.5
SINTAWATY KUSTADY,EKAD,EKADHARMA INTERNATIONAL Tbk,,Local,2.65,93.9,5.2
PT SINERGI LINTAS MEDIA,NETV,MDTV MEDIA TECHNOLOGIES Tbk,,Local,2.62,19.4,0.6
BUDIMULIA INVESTAMA PT,MDKI,EMDEKI UTAMA Tbk,,Local,2.59,15.1,2.6
