source,target,pct,value_idr
PT TRIMEGAH SEKURITAS INDONESIA TBK,BALI,2.9,157244721000.0
KINGSWOOD UNION CORPORATION,BALI,2.54,138000000000.0
REKSA DANA SUCORINVEST EQUITY PRIMA FUND,BALI,1.9,103081446000.0
CASCADEN INVESTMENT LIMITED,BALI,1.74,94702500000.0
UBS AG HONG KONG,BALI,1.65,89700000000.0
REKSA DANA SUCORINVEST EQUITY FUND,BALI,1.08,58397874000.0
"CAPITAL LIFE SYARIAH, PT",BANK,4.8,379683838000.0
"CAPITAL LIFE INDONESIA, PT",BANK,3.02,238912923000.0
"PACIFIC LIFE INSURANCE, PT",BANK,2.79,220631050000.0
"SUMBER ALFARIA TRIJAYA, TBK",BANK,1.97,155882540000.0
BANK JULIUS BAER & CO. LTD,BANK,1.62,128415449000.0
DBS BANK LTD S/A ALBIZIA ASEAN OPPORTUNITIES FUND,BATA,4.18,3313147900.0
PT. GRAHA SENTOSA PERSADA,BAYU,28.08,138838960400.0
"UNION BANCAIRE PRIVEE, UBP SA SINGAPORE BRANCH",BAYU,10.07,49772591400.0
BANK JULIUS BAER & CO. LTD,BAYU,7.9,39080741000.0
BANK OF SINGAPORE LIMITED,BAYU,6.64,32855060000.0
CA INDOSUEZ (SWITZERLAND) SA,BAYU,4.25,21000000000.0
DBS BANK LTD.,BAYU,2.97,14700000000.0
REKSA DANA BALANCED FUND SUCORINVEST ANAK PINTAR,BAYU,2.73,13494600000.0
REKSA DANA SUCORINVEST MAXI FUND,BAYU,2.54,12571020000.0
BP2S SG/BNP PARIBAS SINGAPORE BRANCH WEALTH MANAGEMENT,BAYU,1.2,5950560000.0
PT DWIMURIA INVESTAMA ANDALAN,BBCA,54.94,436858177500000.0
ANTHONI SALIM,BBCA,1.15,9135179085750.0
UBS AG SINGAPORE BRANCH,BBHI,1.88,545601283500.0
BANK OF SINGAPORE LIMITED,BBLD,5.46,71411034000.0
LGT BANK AG,BBLD,4.29,56192985000.0
PT. GRAHA SENTOSA PERSADA,BBLD,3.23,42213381435.0
"UNION BANCAIRE PRIVEE, UBP SA SINGAPORE BRANCH",BBLD,1.06,13918688280.0
MAYBANK SECURITIES PTE. LTD.,BBMD,2.71,219819600000.0
PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,BBNI,59.4,83301310558720.0
DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,BBNI,3.51,4918109839360.0
PT TASPEN (PERSERO),BBNI,1.29,1814699704000.0
EMPLOYEES PROVIDENT FUND BOARD,BBNI,1.18,1660207718560.0
PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,BBRI,52.66,265750207466310.0
EMPLOYEES PROVIDENT FUND BOARD,BBRI,1.14,5739943504140.0
DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,BBRI,1.09,5497555321620.0
DEUTSCHE BK AG (PRIVATE BANKING) SPORE WM CLIENT,BBRM,1.85,21509000000.0
HSBC LTD-SINGAPORE BRANCH PRIVATE BANKING DIVISION ACCOUNT CLIENTS,BBSI,4.58,793600744720.0
PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,BBTN,59.4,10462257277410.0
PT TASPEN (PERSERO),BBTN,4.95,872228158835.0
DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,BBTN,2.77,488541139040.0
REKSA DANA SUCORINVEST EQUITY FUND,BBTN,1.19,209296350000.0
SARATOGA INVESTAMA SEDAYA TBK PT,BBYB,3.55,133678643526.0
WINATO KARTONO,BBYB,1.71,64426599558.0
Reksa Dana Pan Arcadia Dana Saham Bertumbuh,BBYB,1.55,58381831140.0
MAYBANK SECURITIES PTE. LTD.,BBYB,1.44,54028753368.0
PT. MNC ASIA HOLDING TBK,BCAP,47.25,1027013084460.0
UOB KAY HIAN (HONG KONG) LTD,BCAP,6.53,141903792300.0
TJOMO TJENGUNDORO.TJENG,BCAP,2.76,60081121200.0
LIE EFFENDI HARSONO,BCAP,1.27,27683381400.0
SMART EMPIRE GROUP LTD,BCAP,1.17,25528382469.0
