investor,stock,company,sector,pct,shares,value_idr,type,lf
Amirsyah Risjad,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PLASTICS & PACKAGING,1.72,10500062,5187030628.0,Individual,Local
DINA RISJAD,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PLASTICS & PACKAGING,1.7,10433162,5153982028.0,Individual,Local
DEDEY RISJAD,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PLASTICS & PACKAGING,1.7,10433162,5153982028.0,Individual,Local
ZARANI RISJAD,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PLASTICS & PACKAGING,1.7,10433162,5153982028.0,Individual,Local
RIZAL RISJAD,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PLASTICS & PACKAGING,1.7,10433162,5153982028.0,Individual,Local
SELVIYA RISJAD DANANTO,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PLASTICS & PACKAGING,1.7,10433162,5153982028.0,Individual,Local
RADIAN RISJAD,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PLASTICS & PACKAGING,1.7,10433161,5153981534.0,Individual,Local
PT ARTHAKENCANA RAYATAMA,AKRA,AKR CORPORINDO Tbk,WHOLESALE (DURABLE & NON DURABLE GOODS),63.71,12787818600,17966885133000.0,Corporation,Local
EMPLOYEES PROVIDENT FUND BOARD,AKRA,AKR CORPORINDO Tbk,WHOLESALE (DURABLE & NON DURABLE GOODS),3.23,647500000,909737500000.0,Pension Fund,Foreign
GOVERNMENT OF NORWAY,AKRA,AKR CORPORINDO Tbk,WHOLESALE (DURABLE & NON DURABLE GOODS),2.82,566047700,795297018500.0,Others,Foreign
THE NT TST CO S/A CIM INVESTMENT FUND ICAV,AKRA,AKR CORPORINDO Tbk,WHOLESALE (DURABLE & NON DURABLE GOODS),2.09,420464500,590752622500.0,Mutual Fund,Foreign
AKR CORPORINDO TBK.,AKRA,AKR CORPORINDO Tbk,WHOLESALE (DURABLE & NON DURABLE GOODS),1.36,273705000,384555525000.0,Corporation,Local
ABERDEEN ASIA FOCUS PLC,AKRA,AKR CORPORINDO Tbk,WHOLESALE (DURABLE & NON DURABLE GOODS),1.24,248938500,349758592500.0,Mutual Fund,Foreign
HARYANTO ADIKOESOEMO,AKRA,AKR CORPORINDO Tbk,WHOLESALE (DURABLE & NON DURABLE GOODS),1.06,212604600,298709463000.0,Individual,Local
PT BATULICIN ENAM SEMBILAN TRANSPORTASI,AKSI,MINERAL SUMBERDAYA MANDIRI Tbk,WHOLESALE (DURABLE & NON DURABLE GOODS),92.46,665699750,193052927500.0,Corporation,Local
PT.GOLDEN ARISTA INTERNATIONAL,ALDO,ALKINDO NARATAMA Tbk,PULP & PAPER,67.04,1810571784,1032025916880.0,Corporation,Local
VERY BUDIAWAN,ALDO,ALKINDO NARATAMA Tbk,PULP & PAPER,3.82,103218948,58834800360.0,Individual,Local
DADANG KURNIAWAN WIKARA,ALDO,ALKINDO NARATAMA Tbk,PULP & PAPER,3.59,96977000,55276890000.0,Individual,Local
HILDA SUTANTO,ALDO,ALKINDO NARATAMA Tbk,PULP & PAPER,3.44,92841438,52919619660.0,Individual,Local
